id,temporada,kind,zx,zy,xt
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,3,1,0.00506
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,3,2,0.01119
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,3,3,0.00933
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,3,4,0.00818
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,3,7,0.00334
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,0,0.01273
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,1,0.00789
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,2,0.01783
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,4,0.0041
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,5,0.00419
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,4,6,0.01469
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,0,0.00485
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,2,0.04337
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,3,0.00379
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,5,0.03615
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,6,0.00891
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,5,7,0.0141
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,0,0.05279
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,1,0.21159
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,2,0.00878
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,3,-0.01507
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,5,0.00731
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,6,0.01354
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,6,7,0.00375
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,0,0.02781
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,1,0.12791
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,2,0.09071
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,3,0.02287
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,4,0.03278
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,5,0.03856
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,6,0.04883
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,7,7,0.01475
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,0,0.09964
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,1,0.15304
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,4,0.03567
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,5,0.08245
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,6,0.07847
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,8,7,0.02034
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,9,2,0.04268
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,9,3,-0.06332
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,9,4,-0.02127
awda32rw2clw0sjemf7rkcel1,2025-2026,gen,9,5,0.25868
