id,temporada,zx,zy,touches
b4q9q0qgmtz959rygieg9ln1l,2025-2026,11,6,8
b4q9q0qgmtz959rygieg9ln1l,2025-2026,11,7,50
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,0,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,1,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,2,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,3,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,4,77
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,5,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,6,31
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,0,7,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,0,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,1,5
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,2,10
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,3,19
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,4,31
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,5,32
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,6,47
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,1,7,49
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,1,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,2,6
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,3,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,4,26
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,5,72
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,6,60
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,2,7,44
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,1,6
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,2,24
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,3,18
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,4,41
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,5,116
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,6,76
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,3,7,54
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,1,7
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,2,12
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,3,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,4,39
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,5,130
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,6,78
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,4,7,37
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,2,3
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,3,15
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,4,24
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,5,75
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,6,52
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,5,7,38
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,1,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,2,8
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,3,13
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,4,37
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,5,53
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,6,53
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,6,7,45
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,2,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,3,3
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,4,13
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,5,29
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,6,42
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,7,7,39
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,8,4,5
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,8,5,18
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,8,6,21
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,8,7,19
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,9,4,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,9,5,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,9,6,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,9,7,5
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,10,3,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,10,4,4
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,10,5,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,10,6,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,10,7,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,11,3,2
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,11,4,3
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,11,5,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,11,6,1
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,11,7,2
e1islmeew98wa2ge0dicloay2,2025-2026,0,0,4
e1islmeew98wa2ge0dicloay2,2025-2026,0,1,12
e1islmeew98wa2ge0dicloay2,2025-2026,0,2,9
e1islmeew98wa2ge0dicloay2,2025-2026,0,3,32
e1islmeew98wa2ge0dicloay2,2025-2026,0,4,9
e1islmeew98wa2ge0dicloay2,2025-2026,0,5,5
e1islmeew98wa2ge0dicloay2,2025-2026,0,6,2
e1islmeew98wa2ge0dicloay2,2025-2026,1,0,1
e1islmeew98wa2ge0dicloay2,2025-2026,1,1,29
e1islmeew98wa2ge0dicloay2,2025-2026,1,2,16
e1islmeew98wa2ge0dicloay2,2025-2026,1,3,31
e1islmeew98wa2ge0dicloay2,2025-2026,1,4,16
e1islmeew98wa2ge0dicloay2,2025-2026,1,5,7
e1islmeew98wa2ge0dicloay2,2025-2026,1,6,2
e1islmeew98wa2ge0dicloay2,2025-2026,2,0,7
e1islmeew98wa2ge0dicloay2,2025-2026,2,1,23
e1islmeew98wa2ge0dicloay2,2025-2026,2,2,28
e1islmeew98wa2ge0dicloay2,2025-2026,2,3,4
e1islmeew98wa2ge0dicloay2,2025-2026,2,4,7
e1islmeew98wa2ge0dicloay2,2025-2026,2,5,4
e1islmeew98wa2ge0dicloay2,2025-2026,2,6,4
e1islmeew98wa2ge0dicloay2,2025-2026,2,7,1
e1islmeew98wa2ge0dicloay2,2025-2026,3,0,7
e1islmeew98wa2ge0dicloay2,2025-2026,3,1,21
e1islmeew98wa2ge0dicloay2,2025-2026,3,2,39
e1islmeew98wa2ge0dicloay2,2025-2026,3,3,22
e1islmeew98wa2ge0dicloay2,2025-2026,3,4,18
e1islmeew98wa2ge0dicloay2,2025-2026,3,5,11
e1islmeew98wa2ge0dicloay2,2025-2026,3,6,3
e1islmeew98wa2ge0dicloay2,2025-2026,3,7,1
e1islmeew98wa2ge0dicloay2,2025-2026,4,0,7
e1islmeew98wa2ge0dicloay2,2025-2026,4,1,29
e1islmeew98wa2ge0dicloay2,2025-2026,4,2,57
e1islmeew98wa2ge0dicloay2,2025-2026,4,3,26
e1islmeew98wa2ge0dicloay2,2025-2026,4,4,10
e1islmeew98wa2ge0dicloay2,2025-2026,4,5,16
e1islmeew98wa2ge0dicloay2,2025-2026,4,6,8
e1islmeew98wa2ge0dicloay2,2025-2026,4,7,1
e1islmeew98wa2ge0dicloay2,2025-2026,5,0,3
e1islmeew98wa2ge0dicloay2,2025-2026,5,1,12
e1islmeew98wa2ge0dicloay2,2025-2026,5,2,30
e1islmeew98wa2ge0dicloay2,2025-2026,5,3,16
e1islmeew98wa2ge0dicloay2,2025-2026,5,4,9
