id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
3ojnucluy7h8fgk2myyo0zx4a,2022-2023,English Premier League,0.83,0.83,-0.83,0,10,10,0.41,1
67oh9fkwrut68eegfjf5emaui,2022-2023,English Premier League,0.81,0.81,-0.81,0,8,8,0.3,7
8prtj2o0lz1zbzpuw4ah4qhud,2022-2023,English Premier League,0.81,0.81,0.19,1,5,5,0.49,5
2w7i4jfw5wgh3j2wuworoumeh,2022-2023,English Premier League,0.8,0.8,-0.8,0,11,11,0.91,9
15948izygnu32cu1pw6h5wp9l,2022-2023,English Premier League,0.8,0.8,-0.8,0,9,9,0.41,8
2uiza5b6fbum38chxtvmnkzqh,2022-2023,English Premier League,0.8,0.8,0.2,1,13,13,1.76,22
drwacyyicuhy3heg4j0ipqj85,2022-2023,English Premier League,0.8,0.8,-0.8,0,8,8,1.25,11
9l7ph5603tbb7xwyxpvjg22fp,2022-2023,English Premier League,0.79,0.79,-0.79,0,16,16,2.41,41
80bmtj7l07ohb2h475w955n9,2022-2023,English Premier League,0.79,0.79,-0.79,0,5,5,1.83,21
e6jaaazxqeczj6ziaj0qnqpxx,2022-2023,English Premier League,0.78,0.78,-0.78,0,9,9,1.45,17
1zxwich342p8fholev7ddkwh6,2022-2023,English Premier League,0.78,0.78,-0.78,0,20,20,2.42,23
9uo88sreasbyj41lg34hxy28l,2022-2023,English Premier League,0.77,0.77,1.23,2,9,9,0.07,1
6dqnwhx0eglxhelidxg0dphm2,2022-2023,English Premier League,0.76,0.76,-0.76,0,6,6,1.61,18
4njl5iqybub0cxbhjh2xbft9l,2022-2023,English Premier League,0.75,0.75,-0.75,0,4,4,0.32,6
7yirx71oya71zjsgldj5ucqcq,2022-2023,English Premier League,0.75,0.75,0.25,1,8,8,0.24,6
dn3llv8xjdbbndltfym5ar561,2022-2023,English Premier League,0.74,0.74,2.26,3,13,13,1.19,11
7mms3tmwizhtvzakotl4hv0et,2022-2023,English Premier League,0.74,0.74,-0.74,0,18,18,2.38,18
4qrvwap878sl5dz5n3o8mr71m,2022-2023,English Premier League,0.72,0.72,0.28,1,15,15,1.93,14
2qy2d8xkwkbeyw5v8ljlzb845,2022-2023,English Premier League,0.72,0.72,0.28,1,13,13,2.52,26
5e2zgfe3ltc6qbnoqdfshqsph,2022-2023,English Premier League,0.71,0.71,-0.71,0,9,9,0.14,3
4042kk7ylrs378rh26b7mh42x,2022-2023,English Premier League,0.71,0.71,0.29,1,12,12,0.21,4
8r547g1qv706wo9iqr5unfnpx,2022-2023,English Premier League,0.7,0.7,-0.7,0,16,16,2.29,16
1tuivl8zdnsaz8vbed2z582qx,2022-2023,English Premier League,0.7,0.7,0.3,1,7,7,0.68,5
8ro3lpzufz8ea9pa2j1jivqad,2022-2023,English Premier League,0.69,0.69,-0.69,0,6,6,0.16,4
1ehvdoglquy9ldibpvajw34d1,2022-2023,English Premier League,0.68,0.68,-0.68,0,9,9,0.91,12
8u46wgn2upd99tmmchxuw1gbt,2022-2023,English Premier League,0.68,0.68,1.32,2,9,9,0.12,2
9o1vesnpfiucpoq35ihhpstex,2022-2023,English Premier League,0.67,0.67,-0.67,0,10,10,1.28,22
29pq64smaxdwlraopnxoleqxh,2022-2023,English Premier League,0.67,0.67,1.33,2,17,17,0.66,12
20wvh9al53baedfzbzykpvkyd,2022-2023,English Premier League,0.67,0.67,-0.67,0,4,4,0.15,2
65rqu55qbzswixgqw2efna06i,2022-2023,English Premier League,0.66,0.66,1.34,2,6,6,0.21,5
288nn7pbq5ewriiyb9o7da86h,2022-2023,English Premier League,0.66,0.66,-0.66,0,13,13,0.99,19
7wovx9b2bkkc2ett3m2b26iqy,2022-2023,English Premier League,0.66,0.66,-0.66,0,7,7,0.05,1
