id,temporada,liga,PSxG,PSxG+/-,psxg_goals_faced,shots_on_target_faced,soft_goals_conceded
7obuhegyo1qcoikt23egcsr85,2020-2021,Bundesliga,45.6,-4.4,50,150,7
5bzowvtg5vhntcx1w3roriehh,2020-2021,Bundesliga,45.12,1.12,44,157,3
8td0ccul6gf7r5benk1pxqrx1,2020-2021,Bundesliga,44.57,-2.43,47,142,5
64pzn3jdqo6y2izlpm8n3tvpx,2020-2021,Bundesliga,43.01,1.01,42,123,3
bagn0ce4xunsiz3mezrtqx1p1,2020-2021,Bundesliga,42.32,-9.68,52,138,5
ci1nu5z8aiiikco8af0zk1lud,2020-2021,Bundesliga,41.88,-3.12,45,142,7
dduj8a3ejx8nmozrlpsa3rj6d,2020-2021,Bundesliga,41.49,0.49,41,132,6
dvo2f7d0yosn404wsrsgeprdh,2020-2021,Bundesliga,38.12,-0.88,39,108,1
bfpax581lm91ebz4xgz40a191,2020-2021,Bundesliga,31.79,-0.21,32,108,5
7y56q44sss2o7my2surg4kzit,2020-2021,Bundesliga,28.42,-1.58,30,92,2
3tb27261f8mpzpq3prpv8ng0l,2020-2021,Bundesliga,27.88,-2.12,30,80,3
cg6h7oq0b5zpx1g4brhzyk1xx,2020-2021,Bundesliga,27.85,0.85,27,83,4
8l1mv5qd9vwade754v3l8epjp,2020-2021,Bundesliga,23.08,0.08,23,68,3
4h3aawt897usa7wkw4i4d8gyd,2020-2021,Bundesliga,13.59,-1.41,15,44,2
d2gbcc336c4zatpiif4cvm2fp,2020-2021,Bundesliga,8.46,-1.54,10,20,2
920yurg08gqayxwc80q9f8ixh,2020-2021,Bundesliga,8.22,2.22,6,18,0
avp82zop4q55b2z62tww92311,2020-2021,Bundesliga,7.82,-4.18,12,33,6
7446u69ki15qcyq2jtszacm3t,2020-2021,Bundesliga,7.35,0.35,7,21,0
cub8yovn04qjhs35k7wuwt7th,2020-2021,Bundesliga,7.1,-3.9,11,24,1
dh15r2p7e0c5cwezilhq3fi6t,2020-2021,Bundesliga,4.57,1.57,3,13,0
53ozrqkupvt2iyi2xg0swf7px,2020-2021,Bundesliga,3.31,-0.69,4,14,2
byk5vhf9l112i7hhy1clravp,2020-2021,Bundesliga,3.28,0.28,3,8,0
slsd8022q9s3uugsafaqt2ol,2020-2021,Bundesliga,3.25,-0.75,4,13,1
62gct49oglcdzxafhrfucrb2t,2020-2021,Bundesliga,2.65,1.65,1,9,0
3yqxkw0tqpoucur51ieh9xdrd,2020-2021,Bundesliga,1.56,-0.44,2,4,0
7m4pw4plxndt68iq7f3s60cet,2020-2021,Bundesliga,1.21,1.21,0,4,0
39sis9riui0wotbrsivt23oid,2020-2021,Bundesliga,1.08,0.08,1,3,0
d3xdl3p9vd1c0m316oq2pblxx,2020-2021,Bundesliga,0.91,-1.09,2,4,0
38fhsva1ntfv3rzpm9nbtevze,2020-2021,Bundesliga,0.79,-0.21,1,6,0
5frs9u0spep2j3gszu06awo9h,2020-2021,English Premier League,71.99,0.99,71,234,7
6yovfcug6e9hykfauqy0fq67d,2020-2021,English Premier League,57.88,-2.12,60,206,7
8k88isvd2hwr5e4gn9oxzr2t,2020-2021,English Premier League,55.39,-8.61,64,169,5
8szyip8c62bier901hmpqc7vt,2020-2021,English Premier League,52.77,2.77,50,188,4
9eaevg9okpy4gcm6yofg7vbv9,2020-2021,English Premier League,52.35,5.35,47,161,5
3zl1q2gk6tdmzirsyfgm38no5,2020-2021,English Premier League,50.25,5.25,45,186,3
d3p7p18i2ybzlwz5p5gjdd239,2020-2021,English Premier League,47.65,-8.35,56,147,5
7gu0t0g8nej405k918fwsf8id,2020-2021,English Premier League,46.91,-1.09,48,148,2
ombvyo6p3p5khkn91vubvpat,2020-2021,English Premier League,46.85,4.85,42,155,2
8govqd0xf8ijst50tgypaep5h,2020-2021,English Premier League,45.25,-2.75,48,136,6
9s9i1a7hdq5bud8ma2dqi295h,2020-2021,English Premier League,41.89,5.89,36,149,6
eagrmpe9ft8daly57l1ja8lhx,2020-2021,English Premier League,40.88,0.88,40,138,4
e8dina16u5kt5ho4u5igtmimt,2020-2021,English Premier League,38.16,0.16,38,128,3
cnoomjxp6tna0mx2ycuptgixh,2020-2021,English Premier League,36.65,-4.35,41,126,7
53d0pvr7ylvfhp6p749iniqc5,2020-2021,English Premier League,34.55,2.55,32,115,6
2f79rc4i712sxstahjkq6pxp1,2020-2021,English Premier League,32.94,-0.06,33,119,2
e00004wkpfc8jawioejmpu1n9,2020-2021,English Premier League,28.66,-1.34,30,90,3
23637o19ff0sw18pqv8g96ndh,2020-2021,English Premier League,27.62,0.62,27,93,3
d9yxninyn4bac8f0ufxsnlqll,2020-2021,English Premier League,25.4,-0.6,26,91,5
22s7hpp9k5ihtc2pwiaytdp05,2020-2021,English Premier League,22.1,-1.9,24,81,3
7w4l5mrrrg66wvdd8ndb5zb9x,2020-2021,English Premier League,17.38,-0.62,18,62,3
7udphhcokm6vralyz5gkovxsl,2020-2021,English Premier League,17.05,-2.95,20,44,3
5z8ycnd0smdkumi5fgtzf7c9h,2020-2021,English Premier League,12.56,0.56,12,51,0
8wz5pdydepr5kzcichz17pv4l,2020-2021,English Premier League,10.74,-0.26,11,31,2
4myy5br8yj5678xlji3up1ryt,2020-2021,English Premier League,9.5,0.5,9,30,1
f218jdmezq860bqxbp6x5krft,2020-2021,English Premier League,8.15,-5.85,14,24,2
6j3wbk9xlq4om4m8ih6b3tyvp,2020-2021,English Premier League,6.99,-1.01,8,23,0
2r4ox2h5r7doo3ys9ynm2nbo5,2020-2021,English Premier League,6.63,-2.37,9,18,2
46jsa691lantlbcfqm1rtnlcl,2020-2021,English Premier League,4.92,-0.08,5,9,0
1f2t5vsayiiluw330yiw4ft1x,2020-2021,English Premier League,2.95,0.95,2,10,0
6o74ue6gk2m4qyiq2wimael79,2020-2021,English Premier League,2.78,-0.22,3,5,1
dpw4s6nbkfcrjlqxxgf9j5yhh,2020-2021,English Premier League,2.03,1.03,1,7,0
28f271b9dr7hknp0s82mlu5lh,2020-2021,English Premier League,1.93,-1.07,3,9,2
cf8iupi91wh0n9v6t9fsu5hat,2020-2021,English Premier League,1.54,-0.46,2,6,0
6bhm9cfkwxv5ojh49rqv11g45,2020-2021,English Premier League,1.35,-1.65,3,3,1
4s848k6xkf7jqp11jkoit2a51,2020-2021,English Premier League,1.07,-2.93,4,6,2
cpkhrnagjt43vjzf058psq0gl,2020-2021,English Premier League,1.04,0.04,1,4,0
f2ou2jbp6zpccfa48v52f4dlh,2020-2021,English Premier League,0.98,-0.02,1,2,0
7yte0egh8y7assst6g0vnn9w5,2020-2021,English Premier League,0.92,-1.08,2,5,1
7rvlba00jv66w7wtdmk178a95,2020-2021,English Premier League,0.4,0.4,0,3,0
bglk6tokkpgjltpzljp1p345x,2020-2021,LaLiga,52.79,-4.21,57,141,7
36bg0k385i4wwarffp6ak1syd,2020-2021,LaLiga,51.59,5.59,46,141,1
s96k2x2cts0vo6y6aaeui5zp,2020-2021,LaLiga,48.51,-5.49,54,137,7
el98wqtf7w1ap9ei2bxqwtx3p,2020-2021,LaLiga,43.83,-0.17,44,127,5
bahph7009sc73jl6s2bramn6d,2020-2021,LaLiga,42.14,-6.86,49,129,9
8iiowapklgy791tcwowpqddqt,2020-2021,LaLiga,39.47,-0.53,40,130,8
amjegysk3et638l4od103c7o5,2020-2021,LaLiga,38.46,1.46,37,125,4
74gwlzg12wr9pkwmdh9xpa505,2020-2021,LaLiga,37.75,-2.25,40,115,3
15no5m0njma23gf0ygu9agt05,2020-2021,LaLiga,37.37,-4.63,42,120,4
5vyiq10fusxvrx4tajz9lmg9h,2020-2021,LaLiga,36.94,-1.06,38,118,4
2yt9oajv9dkbju8tgy1g2nmqd,2020-2021,LaLiga,36.86,14.86,22,122,1
4vlurpsi44g09g159t61u83bp,2020-2021,LaLiga,35.67,-3.33,39,108,2
w503zyr8ipyobglth281uklx,2020-2021,LaLiga,34.3,-2.7,37,105,4
6crmq7vzqts58wg196q48sc7p,2020-2021,LaLiga,34.17,7.17,27,116,1
agd2nhvdhp18dg1weape5olpl,2020-2021,LaLiga,30.69,-0.31,31,95,1
vota9gwygxp3wc998tl7ldxx,2020-2021,LaLiga,28.82,0.82,28,81,2
c9cp6fxbxyc2a3kfotkompxx,2020-2021,LaLiga,28.68,2.68,26,106,2
2e55g4q93y382cg7h0yk5rtud,2020-2021,LaLiga,28.62,-1.38,30,106,5
1vn3xi2x6vtjor1bt1ob1vk5x,2020-2021,LaLiga,25.25,1.25,24,75,3
59ndqnsvggsoek170rdqyd1w5,2020-2021,LaLiga,25.24,-1.76,27,74,3
4dbs7cgevy096gouv60eurh05,2020-2021,LaLiga,22.68,-6.32,29,64,3
ax5fuknlz3zc3fcesya61iod1,2020-2021,LaLiga,21.87,-1.13,23,61,3
dlc9ht6hrf8bu1sxgqkm8fh79,2020-2021,LaLiga,17.71,-2.29,20,54,5
38djgtm6tgoy9someczzz0dsl,2020-2021,LaLiga,16.3,-0.7,17,46,3
alkcbccyfsjddm897cgz7wel1,2020-2021,LaLiga,13.39,2.39,11,45,2
9xhbpn45z9wvjidbmparzkdm1,2020-2021,LaLiga,11.1,0.1,11,39,1
1j75xt37w8q04ixbyjwhtfh05,2020-2021,LaLiga,10.88,2.88,8,24,1
99oklts0o80agp6lhf42m8445,2020-2021,LaLiga,10.09,-1.91,12,30,1
1um5sa7iogc29aadvkabadyad,2020-2021,LaLiga,7.28,1.28,6,24,1
eavhyxb9dfjh0jp5yzg8p8udx,2020-2021,LaLiga,6.45,-1.55,8,22,1
cfm1cx3wneiqljgyv0tthp0ph,2020-2021,LaLiga,6.19,-3.81,10,17,2
96i6oov7nvetigfn4hzr9kd79,2020-2021,LaLiga,5.26,0.26,5,14,1
6bc01uw8zznztph00x7y63q39,2020-2021,LaLiga,4.81,-1.19,6,9,0
2hrvdb06yrucnomiiv2fplv6c,2020-2021,LaLiga,3.29,1.29,2,9,0
8ktlzedieskw7pjsgatlac4q1,2020-2021,LaLiga,2.89,-0.11,3,8,0
1lgrnaje6y7un5dzzll84p91,2020-2021,LaLiga,2.83,-1.17,4,8,0
8yprzddflq9ozrl94x2cpz9p1,2020-2021,LaLiga,2.8,-0.2,3,6,0
cp50szf00paf89wnh2cczw89h,2020-2021,LaLiga,2.29,-0.71,3,6,0
arrnspfznjcs9fmng4finp87p,2020-2021,LaLiga,1.97,-0.03,2,4,0
d84pd71v2zrxdiofttck7ydpl,2020-2021,LaLiga,1.32,-0.68,2,3,0
c7i0lduij4vsnluxisdnaxsk5,2020-2021,LaLiga,0.05,0.05,0,1,0
7nau6llcp8td7s3zmiyr39yad,2020-2021,Ligue 1,63.22,-7.78,71,196,11
6l9y6rn336e3i3z1rvns435xx,2020-2021,Ligue 1,53.44,-6.56,60,169,12
f0e5posm9z0oma2t3u9k1qy95,2020-2021,Ligue 1,52.5,-1.5,54,168,6
3z6ekzop4y7cjuatzz9ua74k5,2020-2021,Ligue 1,52.37,-0.63,53,163,5
6ekdnbnk56xlxforb5owt3dn9,2020-2021,Ligue 1,52.35,4.35,48,162,6
a56woizbe4g6jpl3fg4tlgno5,2020-2021,Ligue 1,50.97,-2.03,53,176,4
cgqunmh8aw465fna15rdve8d1,2020-2021,Ligue 1,50.89,-6.11,57,139,7
2t05pfvho7i9w9w01zcz3gz4l,2020-2021,Ligue 1,47.5,-7.5,55,156,9
3ngai7brgwxmnx3c7dmmed5ud,2020-2021,Ligue 1,42.89,-5.11,48,136,4
cym4wbw14zw1jh4jsp3sbyk0l,2020-2021,Ligue 1,39.81,-4.19,44,127,6
53tqqwl5dpxn0v5zluabsmms5,2020-2021,Ligue 1,36.86,-0.14,37,127,2
d3mss0i879krqrk1owzmj2c45,2020-2021,Ligue 1,36.76,-4.24,41,134,7
11opu790oivpq9iauocjs4fs9,2020-2021,Ligue 1,34.99,1.99,33,93,2
9hny5ktb9jc3vb8m9faalryl1,2020-2021,Ligue 1,33.5,0.5,33,107,4
6q53ei01tbb5kxjr1mhfjysph,2020-2021,Ligue 1,32.06,-10.94,43,111,6
cgeh7qj32flqu9p3a4wnn3s9h,2020-2021,Ligue 1,31.93,0.93,31,91,1
bab51bcstsqnh8vscezs28fyt,2020-2021,Ligue 1,29.29,-10.71,40,100,5
3fpnfgoy4lbpapv2th6g60cet,2020-2021,Ligue 1,28.19,7.19,21,107,2
9sme7jykdv8msgfu0nxx6h39x,2020-2021,Ligue 1,26.57,8.57,18,92,1
2jg5cmi31tqa03msmz8bgu8yd,2020-2021,Ligue 1,22.04,-6.96,29,66,4
2zexsyiv8krax7x4qnglrm2fp,2020-2021,Ligue 1,21.36,-2.64,24,56,2
6wfwy94p5bm0zv3aku0urfq39,2020-2021,Ligue 1,21.09,-4.91,26,68,1
a4y1cyul7lu5sisj5jetgsz4l,2020-2021,Ligue 1,13.61,-0.39,14,54,2
6oi4a3g56xe76g0gg38knmzmd,2020-2021,Ligue 1,12.01,-1.99,14,33,0
1bwo1ljvvdcz7ih5z0led8l7u,2020-2021,Ligue 1,10.68,2.68,8,28,0
a065rtv2lfh0rso33dfuah4ut,2020-2021,Ligue 1,9.91,-3.09,13,32,3
ckjcm9q26zd6q8tkq0go6oxcl,2020-2021,Ligue 1,9.9,1.9,8,36,0
2vgr8c97x4b2e51tyvvixusid,2020-2021,Ligue 1,9.56,-3.44,13,26,1
7t9ixlae5t9v8moc6brwcec4p,2020-2021,Ligue 1,9.3,2.3,7,34,0
cemwhtlpcizu8en6ckkx2tuc5,2020-2021,Ligue 1,7.43,-2.57,10,23,1
2pi9d72w417av039jxj2rlqt,2020-2021,Ligue 1,3.34,-0.66,4,11,0
paox5q06x88wn1ibq8kzpdqt,2020-2021,Ligue 1,3.3,0.3,3,7,0
9hevpy9tmw1de75wifk3odvit,2020-2021,Ligue 1,1.88,-0.12,2,5,0
8c44ama4w8abj70rkgciwlawa,2020-2021,Ligue 1,1.64,-2.36,4,4,1
8pgocmr00qw7b9919c8zh4bmx,2020-2021,Ligue 1,1.51,0.51,1,3,0
89sv092huj2obzdazmft854a1,2020-2021,Ligue 1,1.19,0.19,1,6,0
d5ecnjd6h89iepxrvrlfn97ft,2020-2021,Ligue 1,1.06,0.06,1,2,0
22s7hpp9k5ihtc2pwiaytdp05,2020-2021,Ligue 1,0.7,-0.3,1,1,0
2ols4tslj83nkbztgkx9s92hh,2020-2021,Primeira Liga,50.47,2.47,48,147,7
c3baobq2ekhdux5zubyo83o45,2020-2021,Primeira Liga,44.53,7.53,37,138,6
2accix9saahg900cja5e9iw9h,2020-2021,Primeira Liga,39.96,-1.04,41,129,5
9liw7vzbn9jjt4v8saal3bu8l,2020-2021,Primeira Liga,39.95,1.95,38,125,4
6jdphm5rdi6cwv8l4iuh8ao5x,2020-2021,Primeira Liga,39.8,6.8,33,125,3
921pmr49x4ijt9tnww0d2sixh,2020-2021,Primeira Liga,36.31,-0.69,37,107,5
4fuj2gwg2b51fcl5vies20ut,2020-2021,Primeira Liga,34.18,1.18,33,119,3
90v8e01hdffgqom4pwhjl0mvp,2020-2021,Primeira Liga,33.22,-0.78,34,106,6
5nlzolv5bg03eiopba58rs251,2020-2021,Primeira Liga,33.1,0.1,33,95,3
30bhky4x90yqfyzhsawfz6pcl,2020-2021,Primeira Liga,32.39,5.39,27,120,3
5tlj5yw513al38b6uvzmslfbp,2020-2021,Primeira Liga,31.56,-2.44,34,109,3
bftdu4ku64qiwknok31dmdxhx,2020-2021,Primeira Liga,30.98,3.98,27,87,4
c1b9p5bk8hfyw0bi6thva0lw5,2020-2021,Primeira Liga,28.17,2.17,26,86,4
6ddxujeb3873j5evwiz8n4wt0,2020-2021,Primeira Liga,26.07,0.07,26,77,3
bvdpvj8cnz2i8shf5tifm74k5,2020-2021,Primeira Liga,23.89,-3.11,27,77,4
c95rs02m9val77b1sjxt1j7c9,2020-2021,Primeira Liga,22.88,-4.12,27,75,3
342kh2ue733edf9q7s0a2edat,2020-2021,Primeira Liga,20.57,2.57,18,75,0
58bdjnuhsu8gurdi31nc1yymt,2020-2021,Primeira Liga,19.61,1.61,18,64,2
5qeoxuy2ymw09u7nrjmdzd8t1,2020-2021,Primeira Liga,18.58,-0.42,19,55,4
7jtc6yk5xu4cm1an97wrgozbp,2020-2021,Primeira Liga,17.64,2.64,15,64,4
8rfll5ql6e256y98xwrh5o4b9,2020-2021,Primeira Liga,15.02,-3.98,19,45,1
exmgyk2vlg5n0wcefdfv603px,2020-2021,Primeira Liga,13.95,-2.05,16,42,1
b2f67gkfb59hda2vka59e7qol,2020-2021,Primeira Liga,13.75,3.75,10,46,3
9hqhder3adhjjovepuv4yst79,2020-2021,Primeira Liga,8.46,-3.54,12,28,5
ep49gikzduh1ip36sybgzhhat,2020-2021,Primeira Liga,8.33,1.33,7,29,1
e5837ne2inl59i34wpq30e6l1,2020-2021,Primeira Liga,6.93,-1.07,8,25,1
8pd7rkac98cx4xgnz2u12c3x1,2020-2021,Primeira Liga,4.6,-3.4,8,11,2
yr3qxofpyz0x0m4btfy6xxat,2020-2021,Primeira Liga,4.37,0.37,4,14,0
ddqhpd2j2r1mm0gdz9e5dd6tx,2020-2021,Primeira Liga,4.33,-0.67,5,15,1
8nesxmzgmtxcr5vu3881j6ane,2020-2021,Primeira Liga,4.22,1.22,3,19,0
eubzxwokg6nzftjd3myxsyfv9,2020-2021,Primeira Liga,2.96,-1.04,4,9,0
1jpicm41z7stnjr3snjfvjget,2020-2021,Primeira Liga,2.22,0.22,2,8,0
9pr59pj6am8lt9iaeckshe2fp,2020-2021,Primeira Liga,1.86,-2.14,4,4,0
rtp0zbd3i2e6qqyfdb02yivo,2020-2021,Primeira Liga,1.76,-0.24,2,5,0
p1gmrht3k9yg2mp26uhh58tl,2020-2021,Primeira Liga,1.73,-2.27,4,9,2
d79vlrccz170hzdh35nhsf1ed,2020-2021,Primeira Liga,1.64,-1.36,3,4,0
3948j6ya5agm0g8xbw0ob7v85,2020-2021,Primeira Liga,1.56,-0.44,2,6,1
el58uxf7oaqu95yx1vbgmr7it,2020-2021,Primeira Liga,0.99,-0.01,1,2,0
a4rbrzom0u87sk3uc15sxndg5,2020-2021,Primeira Liga,0.5,0.5,0,5,0
d2rpdm4aukj5tgmefs0jffkkp,2020-2021,Primeira Liga,0.42,-0.58,1,1,0
c3pxiexbciif7uu845ivx5hhx,2020-2021,Primeira Liga,0.11,0.11,0,2,0
2983qoliizrxvsi9sb9c5wwoa,2020-2021,Primeira Liga,0.06,0.06,0,1,0
71p9z7bqvgzb5t115fmos6fop,2020-2021,Primeira Liga,0.02,0.02,0,1,0
84so0uovope0pkt6cz2iisbth,2020-2021,Serie A,74.58,-14.42,89,207,9
c7fky0h6gi7wmibnv2tzf6mz9,2020-2021,Serie A,63.98,-4.02,68,172,3
d1e3dsz9lf7g69g2l6zfurpp1,2020-2021,Serie A,59.6,-13.4,73,181,7
4g0d51pqr4grzoe9cx7do6pxx,2020-2021,Serie A,56.21,2.21,54,141,3
e2dn4s6p2f6xnbaje17wd3jyt,2020-2021,Serie A,53.57,0.57,53,173,4
6jwy293owzzhldv4i9wxntjv9,2020-2021,Serie A,53.34,0.34,53,182,7
1r5gn4osgwz2b2b4sefncbhed,2020-2021,Serie A,53.04,-1.96,55,185,7
8ud1kq9mdgukhlbda5vcn0s0l,2020-2021,Serie A,51.38,-10.62,62,134,1
3o573dblmfc1o3wkkt2nva8k5,2020-2021,Serie A,50.33,8.33,42,158,2
7drgir9lcwfst8vxz07jboe6t,2020-2021,Serie A,48.45,-2.55,51,149,3
4hrmzpx1nt5ze55fpby71mcb9,2020-2021,Serie A,47.67,2.67,45,147,4
8n4rruxbnzvjgdomxslnmcno5,2020-2021,Serie A,47.58,-7.42,55,131,8
4cetkl0w2uq40ccti5ka6a4t1,2020-2021,Serie A,38.57,1.57,37,126,4
93237ztqyi3r4hu3rmgzrgudx,2020-2021,Serie A,38.04,-1.96,40,131,7
76r2yw3wtql61qh5l0yumdn85,2020-2021,Serie A,37.5,-1.5,39,113,2
c9lu69xk59a75bnpzgalh1kut,2020-2021,Serie A,33.43,1.43,32,110,4
af58rhtg8ck7c8g7nwfs67d91,2020-2021,Serie A,28.64,0.64,28,81,1
6ofu6yc2qwp5ii9cerdq1tk9h,2020-2021,Serie A,28.01,-1.99,30,98,3
26atxu4fr8f87oi8mt6z70mhh,2020-2021,Serie A,27.0,1.0,26,85,0
u60zu48a4zqnupyxp2d0mqqd,2020-2021,Serie A,25.06,-0.94,26,69,2
68cu39v9m8pykapkh2b97ltqt,2020-2021,Serie A,17.23,-1.77,19,56,1
3ww5879aay1xf2a20nl9ihwid,2020-2021,Serie A,15.84,-4.16,20,43,1
9n8332rcl3v2jq0b791i0s5w5,2020-2021,Serie A,13.68,1.68,12,42,0
ebzt12h6z4a9mok0rohagmzf9,2020-2021,Serie A,13.1,-0.9,14,38,1
bmqg7owjivu1f3grdigkid0b9,2020-2021,Serie A,10.43,-1.57,12,29,1
8uquzmfx300426antgjjum09h,2020-2021,Serie A,9.64,0.64,9,27,3
2rdh9ggkr9iu50esnyv464dsl,2020-2021,Serie A,8.81,-2.19,11,18,0
9m6yva52cmdq7uu31qrwdrund,2020-2021,Serie A,7.82,-1.18,9,19,0
2692wwt1guis8gm2ajkkj2jje,2020-2021,Serie A,6.61,-0.39,7,26,0
dfg6chc84z74bxqltvimp1ot1,2020-2021,Serie A,6.21,1.21,5,18,0
ahjawcnamuz5zemfrjv76ckid,2020-2021,Serie A,5.75,0.75,5,21,1
5gnywqecwvt5yxied85hu4x2i,2020-2021,Serie A,5.59,-0.41,6,13,0
5syage212151fcixahbq3k8ut,2020-2021,Serie A,5.42,-0.58,6,20,2
h12c7ocq35slzrop3ltnrsnp,2020-2021,Serie A,4.98,-1.02,6,21,1
6u0921pkud1zq1lk4f3q9rl5h,2020-2021,Serie A,4.71,-2.29,7,10,0
3pcf58m2hgktlm15elgdyut3p,2020-2021,Serie A,3.62,-1.38,5,6,1
2udciji4n7tr07ft7twe2r9w5,2020-2021,Serie A,3.43,0.43,3,11,0
7kph61hobc93t2c2tl8l5j105,2020-2021,Serie A,3.16,0.16,3,7,0
a8s8bl5kp1rif458yt3qlevo5,2020-2021,Serie A,2.95,-0.05,3,12,1
17iqlyu99zttyubi6ya6yu9cl,2020-2021,Serie A,1.87,-0.13,2,4,0
80zpu611l5tdu3ih4c4pfh4np,2020-2021,Serie A,1.51,0.51,1,5,0
al3t9fzj4ab55yux0zkd1jkr9,2020-2021,Serie A,1.24,0.24,1,2,0
xrr0fx14jh64k1y1z0945fbp,2020-2021,Serie A,1.01,0.01,1,8,0
8rlf5vjyddkcid5ysa3yo7hlh,2020-2021,Serie A,0.99,-0.01,1,2,0
6wplm29z7qxxmujyc2ml19gix,2020-2021,Serie A,0.44,-0.56,1,6,0
4494989zl7g13nw17wan5adp1,2020-2021,Serie A,0.39,-0.61,1,3,0
a1qq1s0l8z3osf17rkwdsj5gq,2020-2021,Serie A,0.33,0.33,0,1,0
6k790p49tjwkhlwf9afll9jo5,2020-2021,Serie A,0.19,0.19,0,1,0
4stda5zeogc5athn5jw6f5fit,2020-2021,Serie A,0.18,0.18,0,1,0
co1vwppy1870xm5iymj3wmp5h,2020-2021,Serie A,0.03,0.03,0,1,0
