id,nombre,foot
bt40tdni85hiz1gtkw0b6qmfo,,
d92v6n4pf20eepvli92lqau39,,
8o8o4rxbdhv002pj0q21l0f84,,
bjhjz96omjukrg6tj3mny39t6,,
jagvvzc7329tf2c64mnc251,,
3k6znit6fd9mbfcnphlwyvj6d,,
90wsjxdc3ibvah5gm9tnsjwbu,,
bqbt9eix8zlp6rxzxofl6rjmc,,
eikpw8bl1se3sj6hnsndi7zmc,,
6et9hjqnyz4dp4zngp6mfhq8k,,
acg898oezqn7590ue8x8aik89,,
1lbbxbar7u6t3rl463zd7jp49,,
b4e02balad41f9vqo7hqaz504,,
f23e0mo62rmrrjso771t54jro,,
2wwo7wcxz4gfy0ubkzynvrsnp,,
3xqbru6q5dvtrhv6coe7retp1,,
50lnmkk33eoivv4ksly77hkpg,,
aititrd343hal6ount0dp5zze,,
cm7l7qimy4iysm1khmpc7u961,,
eofrc8ta50kpgax1wzuwfpl3o,,
e8ekkg0yayhhmmhinl0v9une,,
clnqh13cxucxja1cymcyu9no4,,
bh20puvz2w21mnag7ul1g3c9h,,
3wwi5vf2l1qbz7e5zdjoy8yga,,
36uqz2z07xk8jhwyg5g159gr8,,
c0yxqwkxqx1sty7abj1qwh9zp,,
672cwl9zj2d6lce6jda350vvu,,
2gj7h5fxuh4y0tbp6j308yk4q,,
5wqrzi7ar39jpu6mn8a67ngiy,,
8cmkqkrjme3wb0gegzn1e6xre,,
31v89l4k38v1wpisz7xhkq38,,
bwgjvtqtuflgq4ov3xis75vbp,,
6e6ttu4unqctb2addbnp5cyga,,
9dnrpl2c7n769i8nbfnboq2tx,,
5wmda9gxa0vtnacgb6nq13gtl,,
7w4l5mrrrg66wvdd8ndb5zb9x,,
6x3qvqsp90kjsps3e4wx0oxqt,,
d42wfpzen6mx8db93itndix2h,,
3izhfm7i4afomephw07mp4nsa,,
7s79un28qujnx64qwl49wy4tl,,
5t952swvuoed4pdwgbi4yjhex,,
21545vwheo9a30u5hgnsrecmi,,
4fcjml5xkrwp4jykruzrzub1m,,
7rs22vzcyiy7txf7tlcbwd7ca,,
50nv5gr7dsp0amdt59ous8vdh,,
7vzbp0q4j4wucnzynmah15st0,,
artzh7xur73vi2kaso97fl756,,
55u45p7vwom7civ3xy3hdf71m,,
97nqu0mjr4ulkoiqn3y6nsmzu,,
9pvc7e65cfgtuipfen5zt463t,,
cr74l0rwvkf4yck0go4esw44p,,
49vfeofafswzu1f6rekqjbjhm,,
e9wu8dcamrtj3ftbx3nmhusid,,
7r6vds5j65fohi1k28cnqjqvp,,
1b70inwbybewkz0b07gzughec,,
1tuivl8zdnsaz8vbed2z582qx,,
ek4oa7zejocbbgu1l2vdebitw,,
661b6x35l9b9uieqbcq7el1hx,,
39ccv9t7ydrrcwd1es1xu2e50,,
5g5wwp5luxo1rz1kp6chvz0x6,,
9drh3w3emxjf6aah8pstsdgr8,,
3uc9z96xvain84leorf4ls962,,
5e2zgfe3ltc6qbnoqdfshqsph,,
573hlc6devy50gjotyav9ql4a,,
7c2wnewpcf1idj6ghj6gu0wyd,,
5jk0wq14a8emikh2vh53aw0ve,,
2dmhzg79cuif9az1vfnz4rllg,,
1g8xr073jl9jwmh5yrco855d6,,
8ezfdv6lgv4gz8kogxvvn1rtg,,
1zxwich342p8fholev7ddkwh6,,
7yirx71oya71zjsgldj5ucqcq,,
e5eiuko5p1yms97xndrvcr0bu,,
es8orzwchom47yjt6nwwuc5qs,,
c2mwg1uhug0pbgl72uf9b927e,,
9vk04uj215dfan7wak7j25hjo,,
8jt4vsixxoqp4uvskyfl7k222,,
bgydmtsi0ngn9k56apo29v0no,,
dczrgxyolp7lcz413wkz7ap61,,
