root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Ground Duels won,Blocks,Leftside Passes,Shots On Target ( inc goals ),Total Tackles,Corners Won,Total Fouls Conceded,Foul Attempted Tackle,Unsuccessful Launches,Total Losses Of Possession,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Long Passes,Total Clearances,Touches,Rightside Passes,Unsuccessful Short Passes,Successful Crosses & Corners,Appearances,Successful Lay-offs,Tackles Lost,Successful Crosses open play,Forward Passes,Throw Ins to Own Player,Aerial Duels lost,Penalty Goals Conceded,Goals Conceded,Unsuccessful Dribbles,Goals Conceded Inside Box,Handballs conceded,Unsuccessful Passes Own Half,Interceptions,Ground Duels lost,Duels,Ground Duels,Open Play Passes,Index,Clean Sheets,Key Passes (Attempt Assists),Successful Fifty Fifty,Successful Short Passes,Unsuccessful Passes Opposition Half,Starts,Fifty Fifty,Successful Dribbles,Recoveries,Tackles Won,Duels lost,Successful Passes Opposition Half,Successful Passes Own Half,Times Tackled,Duels won,PutThrough/Blocked Distribution,Blocked Shots,Yellow Cards,Throw Ins to Opposition Player,Backward Passes,Overruns,Unsuccessful Long Passes,Total Shots,Aerial Duels,Goals Conceded Outside Box,Total Touches In Opposition Box,Shots Off Target (inc woodwork),Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),PutThrough/Blocked Distribution Won,Unsuccessful Crosses open play,Substitute Off,Aerial Duels won,Total Passes,Unsuccessful Crosses & Corners,Games Played,Total Fouls Won,Substitute On,Winning Goal,Successful Launches,Offsides,Corners Taken (incl short corners),Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Attempts from Set Pieces,Hit Woodwork,Goals from Inside Box,Goals,Assists (Intentional),Second Goal Assists,Left Foot Goals,Goal Assists,Home Goals,Away Goals,Foul Won Penalty,Unsuccessful lay-offs,Through balls,Right Foot Goals,Goals from Outside Box,Total Red Cards,Straight Red Cards,Own Goal Scored,Saves Made from Outside Box,Catches,Saves Made from Inside Box,Penalties Faced,Goal Kicks,Penalties Saved,Punches,Goalkeeper Smother,Drops,Saves made - parried,GK Successful Distribution,Saves from Penalty,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Headed Goals,Set Pieces Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Taken,Penalty Goals,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Last Player Tackle,Other Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Final Third Touches,Goals Openplay
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,Defender,13,39.0,12.0,253.0,5.0,24.0,1.0,17.0,12.0,23.0,109.0,843.0,891.0,48.0,44.0,1169.0,357.0,65.0,,19.0,,10.0,,329.0,2.0,20.0,2.0,16.0,,15.0,,43.0,19.0,20.0,125.0,59.0,946.0,100.0,5.0,3.0,16.0,843.0,62.0,16.0,39.0,2.0,79.0,14.0,40.0,262.0,629.0,,85.0,14.0,1.0,4.0,,56.0,,39.0,11.0,66.0,1.0,21.0,6.0,1407.0,104.0,9.0,1.0,1.0,46.0,995.0,1.0,19.0,13.0,3.0,0.0,6.0,3.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,0.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,14.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,9vnr9uog5fmggich2i4vjxwbt,A. Saelemaekers,Midfielder,56,132.0,,289.0,12.0,43.0,23.0,29.0,19.0,4.0,314.0,645.0,659.0,16.0,7.0,1253.0,133.0,123.0,11.0,36.0,20.0,21.0,11.0,145.0,11.0,14.0,3.0,21.0,40.0,19.0,,29.0,15.0,134.0,289.0,266.0,780.0,40.0,3.0,35.0,44.0,643.0,158.0,22.0,85.0,52.0,120.0,22.0,148.0,467.0,203.0,69.0,141.0,45.0,11.0,2.0,,227.0,,12.0,28.0,23.0,2.0,70.0,16.0,1866.0,135.0,19.0,49.0,16.0,9.0,794.0,52.0,36.0,37.0,14.0,0.0,1.0,1.0,10.0,2.0,,,,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,0.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,6lfx2s5ouee5uly9lqak462hg,L. Stanga,Defender,91,1.0,,,,1.0,,1.0,,,1.0,2.0,2.0,,,4.0,1.0,,,1.0,,1.0,,,,,,,,,,,,2.0,3.0,3.0,2.0,98.0,,,,2.0,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,7kph61hobc93t2c2tl8l5j105,C. Tătărușanu,Goalkeeper,1,,,43.0,,,,,,1.0,44.0,106.0,146.0,41.0,3.0,230.0,35.0,2.0,,6.0,,,,112.0,,,2.0,10.0,,9.0,,9.0,,1.0,1.0,1.0,138.0,53.0,1.0,,,105.0,35.0,6.0,,,36.0,,1.0,31.0,115.0,,,,,,,,,42.0,,,1.0,,,540.0,44.0,,,,,190.0,,6.0,,,0.0,1.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,4.0,5.0,11.0,3.0,,1.0,1.0,1.0,1.0,4.0,45.0,1.0,,15.0,5.0,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,Defender,23,92.0,23.0,479.0,4.0,73.0,,19.0,11.0,51.0,238.0,1432.0,1518.0,102.0,77.0,2086.0,607.0,102.0,,31.0,,29.0,,546.0,6.0,49.0,4.0,20.0,4.0,20.0,1.0,89.0,45.0,29.0,221.0,121.0,1635.0,64.0,13.0,4.0,36.0,1416.0,122.0,30.0,61.0,8.0,183.0,44.0,78.0,387.0,1131.0,4.0,143.0,24.0,,4.0,,94.0,,106.0,12.0,100.0,,17.0,8.0,2719.0,208.0,14.0,3.0,2.0,51.0,1726.0,3.0,31.0,11.0,1.0,0.0,8.0,,,,,,,1.0,,,,,,,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,1.0,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,9sxg58hszjq17avxgumftdu22,S. Tonali,Midfielder,8,134.0,8.0,401.0,11.0,54.0,16.0,45.0,23.0,15.0,347.0,1088.0,1170.0,102.0,17.0,1874.0,360.0,128.0,33.0,36.0,7.0,17.0,7.0,399.0,11.0,14.0,1.0,18.0,15.0,17.0,1.0,39.0,34.0,102.0,260.0,236.0,1273.0,48.0,10.0,42.0,31.0,1068.0,234.0,31.0,66.0,30.0,189.0,37.0,116.0,625.0,578.0,38.0,144.0,39.0,16.0,9.0,,208.0,,70.0,21.0,24.0,1.0,27.0,10.0,2606.0,198.0,18.0,19.0,13.0,10.0,1368.0,75.0,36.0,50.0,5.0,2.0,2.0,3.0,69.0,38.0,,17.0,4.0,,4.0,5.0,2.0,,1.0,2.0,1.0,4.0,,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AC Milan,AC_Milan,11o903vztwpnmvgrinn208qnd,Rafael Leão,Forward,17,160.0,1.0,56.0,38.0,17.0,39.0,25.0,11.0,,440.0,520.0,526.0,33.0,7.0,1353.0,306.0,166.0,15.0,34.0,11.0,10.0,15.0,198.0,14.0,37.0,2.0,20.0,65.0,18.0,3.0,12.0,12.0,147.0,372.0,307.0,696.0,77.0,7.0,37.0,35.0,493.0,213.0,31.0,62.0,98.0,99.0,7.0,184.0,415.0,126.0,115.0,188.0,49.0,24.0,4.0,,143.0,,11.0,73.0,65.0,2.0,193.0,35.0,2618.0,177.0,11.0,48.0,18.0,28.0,703.0,48.0,34.0,45.0,3.0,7.0,1.0,8.0,2.0,,,,,1.0,9.0,11.0,7.0,,2.0,8.0,9.0,2.0,2.0,3.0,4.0,9.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AS Roma,AS_Roma,363nsa82dww242zeo09wpcslx,T. Abraham,Forward,9,114.0,3.0,164.0,39.0,27.0,36.0,38.0,23.0,2.0,378.0,415.0,480.0,16.0,27.0,1197.0,171.0,187.0,4.0,37.0,49.0,14.0,4.0,152.0,1.0,81.0,5.0,38.0,39.0,30.0,3.0,36.0,5.0,127.0,400.0,241.0,611.0,72.0,9.0,34.0,52.0,464.0,172.0,36.0,98.0,38.0,68.0,13.0,208.0,304.0,180.0,80.0,192.0,34.0,22.0,9.0,1.0,189.0,1.0,9.0,73.0,159.0,8.0,186.0,34.0,3097.0,196.0,14.0,12.0,13.0,78.0,676.0,12.0,37.0,49.0,1.0,6.0,,17.0,,,1.0,,3.0,5.0,17.0,17.0,3.0,,1.0,4.0,6.0,11.0,1.0,10.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,3.0,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AS Roma,AS_Roma,74g3ef24ctcgw1kee77d3acr8,F. Afena-Gyan,Forward,64,39.0,,18.0,7.0,10.0,6.0,15.0,7.0,,121.0,106.0,108.0,1.0,,324.0,46.0,30.0,2.0,17.0,6.0,7.0,2.0,20.0,4.0,15.0,1.0,9.0,15.0,7.0,2.0,2.0,3.0,52.0,117.0,91.0,137.0,60.0,,6.0,16.0,107.0,35.0,6.0,44.0,5.0,31.0,3.0,67.0,84.0,26.0,36.0,50.0,8.0,3.0,3.0,1.0,55.0,5.0,1.0,14.0,26.0,2.0,40.0,7.0,664.0,31.0,4.0,6.0,6.0,11.0,139.0,6.0,17.0,24.0,11.0,1.0,,4.0,,,,,,,1.0,2.0,,,,,0.0,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_europa,Italy_Serie_A,2021-2022,AS Roma,AS_Roma,b0b0xalrak7k5pnfnum53umtw,P. Boer,Goalkeeper,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
