liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Hit Woodwork,Leftside Passes,Offsides,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Total Touches In Opposition Box,Unsuccessful lay-offs,Blocked Shots,Clean Sheets,Corners Taken (incl short corners),Goals,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Left Foot Goals,Overruns,Right Foot Goals,Shots On Target ( inc goals ),Successful Corners into Box,Successful Launches,Successful Lay-offs,Through balls,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Corners into Box,Yellow Cards,Home Goals,Away Goals,Handballs conceded,Headed Goals,Last Player Tackle,Penalties Conceded,Penalty Goals Conceded,Total Big Chances Saved,Assists (Intentional),Goal Assists,Attempts from Set Pieces,Clearances Off the Line,Foul Won Penalty,Goals from Outside Box,Penalties Taken,Penalty Goals,Straight Red Cards,Total Red Cards,Direct Setpiece Goals,Set Pieces Goals,GK Successful Distribution,Goal Kicks,Own Goal Scored,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Catches,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target,Drops,Goalkeeper Smother,Second Goal Assists,Other Goals,Crosses not Claimed
Italy_Serie_A,2025-2026,ACF Fiorentina,4j3d7ujmhevsi0y3zvs34i13o,G. Fabbian,Midfielder,80,60,31,29,28,49,1,68,5,143,75,68,130,79,5,28,11,10,83,44,39,6,8,266,30,16,6,33,67,8,11,9,17,,,11,209,117,96,202,6,4,,1,1077,23,16,18,26,111,270,213,10,57,441,7,7,9,6,9,51,13,48,0,,75,2,11,4,16,40,1,2,1,,2,1,2,2,,,1,5,,1,6,,3,1,2,,2,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,418gw0hpjoy8dt0ywaxjgm5pm,N. Fagioli,Midfielder,44,3,2,1,33,229,10,461,11,204,93,111,471,373,13,33,42,34,201,91,110,16,59,1568,194,30,17,146,612,62,30,16,3,20,10,108,1416,817,706,1395,13,33,1,6,2564,43,27,23,45,325,1671,1503,46,168,2116,64,28,12,9,55,204,28,113,1,1,457,,13,19,20,21,1,13,4,31,2,8,2,2,,3,2,7,8,2,22,9,11,1,1,18,5,0,2,,,,,5,,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,6e9fu9o226zn6jzx02jutvi3u,J. Fazzini,Midfielder,22,21,12,9,20,33,1,86,1,106,55,51,126,65,5,20,8,5,85,43,42,6,9,186,46,13,8,35,57,9,5,5,15,6,4,6,138,95,51,134,8,10,,,574,28,6,12,15,104,188,140,18,48,338,10,7,13,1,4,46,12,44,0,,33,,2,9,3,7,2,6,,4,,3,,,,1,,1,1,1,7,3,1,1,,3,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,c4bccspnyg73206u27nhiwu1g,N. Fortini,Defender,29,11,6,5,16,53,2,80,4,87,35,52,151,50,3,16,12,11,76,29,47,4,4,209,40,10,7,35,63,4,2,1,14,5,5,11,183,102,87,173,13,9,6,21,530,16,8,5,18,91,210,184,22,26,393,24,24,11,4,8,41,9,18,0,,44,,3,8,5,6,,3,,,,1,,,,2,,2,,3,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,9qow77e16pvlb3860yjpydryt,R. Gosens,Defender,21,76,42,34,25,109,6,127,10,170,85,85,257,295,10,25,24,20,94,43,51,22,11,730,73,49,27,44,289,12,23,13,2,9,9,21,579,294,304,568,13,17,15,118,1817,11,62,23,24,226,740,589,30,151,1187,33,33,3,18,37,141,43,114,1,,47,4,6,,13,44,,5,4,,3,4,2,3,2,,,7,,6,3,2,1,3,2,,2,1,2,1,1,,,1,2,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,ejzxqtdo5xxvbg6gvtju3lk9h,A. Guðmundsson,Forward,10,15,12,3,32,237,3,325,18,170,111,59,494,167,12,32,28,23,155,99,56,2,27,779,158,36,14,71,261,31,26,16,6,12,6,30,672,452,257,667,5,3,,13,2182,48,12,33,29,256,804,697,8,107,1162,43,30,19,7,13,115,35,94,1,2,139,6,13,19,28,82,3,13,2,22,5,5,2,4,1,2,4,15,6,2,41,2,7,5,3,11,4,2,3,5,,,,2,,3,4,2,,1,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,6kih58n0fzlod6c792xpey57t,J. Harrison,Forward,17,18,14,4,14,87,1,127,9,91,65,26,252,63,5,14,9,9,73,51,22,1,9,337,57,20,9,31,24,12,9,4,5,9,8,4,276,189,100,276,3,4,,16,889,32,6,8,5,157,341,280,7,61,534,46,36,19,6,13,94,13,48,0,,167,,5,10,8,31,1,3,3,13,1,,1,1,1,1,,3,1,,7,2,,1,,9,1,0,1,,,,,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,3zqpvn7r1c779l9vwwh7yukfd,M. Kean,Forward,20,59,32,27,26,73,1,129,16,228,126,102,352,35,17,26,32,24,169,94,75,7,2,201,72,13,3,34,56,3,23,8,3,,,1,142,101,53,153,3,3,,2,2041,65,16,29,44,197,213,154,6,59,597,7,7,35,,2,58,8,57,3,3,49,30,48,25,75,131,10,23,2,,8,8,6,7,1,1,7,27,,,29,2,,18,5,,4,7,1,2,,,,4,,,1,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,rt3bjb3drfglk5zhc3amk5ck,E. Košpo,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy_Serie_A,2025-2026,ACF Fiorentina,dnoda2j8vhyppw1gt0s6x2044,E. Kouadio,Defender,60,,,,3,4,,7,,9,3,6,5,6,,3,,,9,3,6,1,1,24,3,1,1,1,2,1,,,3,,,1,21,4,17,20,1,3,,2,70,1,1,1,1,7,24,21,4,3,40,1,1,1,,1,3,1,2,0,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
