root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,PutThrough/Blocked Distribution Won,Touches,Fifty Fifty,Attempts from Set Pieces,Substitute Off,Starts,Total Fouls Conceded,Goals Conceded,Shots On Target ( inc goals ),Forward Passes,PutThrough/Blocked Distribution,Straight Red Cards,Unsuccessful Passes Opposition Half,Aerial Duels won,Key Passes (Attempt Assists),Goals Conceded Outside Box,Successful Fifty Fifty,Clean Sheets,Successful Short Passes,Successful Passes Own Half,Duels won,Successful Launches,Shots Off Target (inc woodwork),Successful Passes Opposition Half,Ground Duels won,Total Losses Of Possession,Successful Dribbles,Unsuccessful Long Passes,Duels lost,Yellow Cards,Goals Conceded Inside Box,Goal Assists,Tackles Won,Time Played,Penalties Conceded,Total Touches In Opposition Box,Duels,Interceptions,Offsides,Blocked Shots,Unsuccessful Launches,Successful Open Play Passes,Rightside Passes,Throw Ins to Own Player,Recoveries,Unsuccessful Short Passes,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Corners Won,Total Shots,Open Play Passes,Successful Long Passes,Backward Passes,Tackles Lost,Total Clearances,Total Red Cards,Blocks,Aerial Duels,Penalty Goals Conceded,Aerial Duels lost,Handballs conceded,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Games Played,Total Passes,Total Fouls Won,Times Tackled,Total Tackles,Foul Attempted Tackle,Index,Leftside Passes,Winning Goal,Successful Lay-offs,Substitute On,Unsuccessful lay-offs,Unsuccessful Dribbles,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Overruns,Throw Ins to Opposition Player,Foul Won Penalty,Successful Crosses & Corners,Successful Crosses open play,Right Foot Goals,Unsuccessful Corners into Box,Headed Goals,Goals,Assists (Intentional),Corners Taken (incl short corners),Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Red Cards - 2nd Yellow,Hit Woodwork,Penalty Goals,Penalties Taken,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Drops,Saves made - parried,Saves Made from Outside Box,Saves Made from Inside Box,GK Unsuccessful Distribution,Penalties Faced,GK Successful Distribution,Catches,Saves from Penalty,Goalkeeper Smother,Saves made - caught,Punches,Saves Made,Penalties Saved,Goal Kicks,Clearances Off the Line,Second Goal Assists,Own Goal Scored,Crosses not Claimed,Other Goals,Penalties Off Target,Last Man Tackle,Last Player Tackle
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,FC Vizela,FC_Vizela,5bqgm239kf1rnd2fn9xvu3uac,Hugo Oliveira,Defender,2,,,4.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,1.0,,,1.0,,,,3.0,,1.0,,,,,,,,,,3.0,,1.0,3.0,,,,,10.0,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,FC Vizela,FC_Vizela,7m2za4jynw9fdc2ax1455ibpx,Igor Julião,Defender,14,40.0,9.0,553.0,19.0,,5.0,12.0,11.0,18.0,,145.0,33.0,,66.0,11.0,5.0,2.0,10.0,,187.0,95.0,48.0,2.0,2.0,112.0,37.0,158.0,6.0,23.0,34.0,3.0,16.0,3.0,11.0,998.0,1.0,9.0,82.0,9.0,1.0,3.0,11.0,188.0,13.0,88.0,53.0,64.0,13.0,87.0,4.0,2.0,275.0,12.0,48.0,8.0,17.0,,1.0,21.0,2.0,10.0,1.0,61.0,199.0,24.0,13.0,286.0,13.0,9.0,19.0,8.0,10.0,80.0,0.0,,1.0,,6.0,19.0,19.0,,,25.0,,8.0,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,FC Vizela,FC_Vizela,8f8lbg182g5jwnqbj1zgjbljp,Anderson Jesus,Defender,5,37.0,5.0,802.0,35.0,,,17.0,11.0,29.0,1.0,278.0,10.0,,89.0,56.0,7.0,3.0,21.0,,450.0,346.0,75.0,4.0,4.0,135.0,19.0,145.0,,65.0,59.0,4.0,26.0,,11.0,1530.0,,25.0,134.0,28.0,,2.0,25.0,470.0,153.0,,58.0,60.0,17.0,125.0,2.0,5.0,587.0,31.0,18.0,2.0,76.0,,13.0,95.0,4.0,39.0,,39.0,481.0,20.0,17.0,606.0,6.0,,13.0,6.0,10.0,157.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,ssluj1c3ft94nkfs58dc8cq2,E. Achouri,Forward,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,1l0sfejnziz4ur5prgb0tp2j8,Gilson Benchimol,Forward,29,,,10.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,3.0,3.0,2.0,,,1.0,1.0,3.0,,,3.0,,1.0,,,6.0,,1.0,5.0,1.0,,,,3.0,,,,1.0,1.0,1.0,,,4.0,1.0,4.0,,,,,2.0,,1.0,,3.0,4.0,2.0,1.0,5.0,1.0,1.0,,1.0,10.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,f2snfr7qvzltfng9r3bmp20o9,André Clóvis,Forward,9,7.0,7.0,276.0,32.0,,7.0,7.0,26.0,8.0,6.0,32.0,12.0,,34.0,20.0,5.0,1.0,12.0,,94.0,36.0,49.0,,12.0,63.0,29.0,90.0,4.0,2.0,79.0,,7.0,1.0,2.0,866.0,,36.0,128.0,6.0,12.0,4.0,1.0,81.0,36.0,,30.0,37.0,23.0,39.0,11.0,18.0,120.0,2.0,39.0,3.0,4.0,,2.0,54.0,,34.0,,74.0,96.0,45.0,23.0,135.0,20.0,16.0,5.0,6.0,10.0,28.0,0.0,3.0,16.0,1.0,6.0,2.0,2.0,1.0,,,,3.0,3.0,1.0,,,1.0,1.0,,,1.0,0.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,a2ydovvp7lqqv0h8dma463th,R. Coly,Defender,14,7.0,2.0,113.0,4.0,,1.0,2.0,3.0,4.0,,30.0,4.0,,10.0,1.0,2.0,,2.0,,50.0,31.0,5.0,,1.0,21.0,4.0,29.0,,3.0,11.0,1.0,4.0,1.0,1.0,170.0,,,16.0,,,,2.0,50.0,25.0,19.0,4.0,11.0,2.0,14.0,,1.0,64.0,1.0,6.0,,3.0,,,3.0,,2.0,,13.0,51.0,9.0,2.0,65.0,3.0,3.0,1.0,2.0,10.0,4.0,0.0,,,,,3.0,3.0,,,6.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,c9o6kik18ik4z5f283qz8b1m1,Miguel Crespo,Midfielder,13,1.0,3.0,121.0,9.0,,2.0,3.0,5.0,2.0,1.0,18.0,5.0,,17.0,2.0,6.0,1.0,5.0,,43.0,11.0,27.0,,1.0,34.0,25.0,35.0,2.0,1.0,24.0,3.0,1.0,,4.0,262.0,,6.0,51.0,2.0,1.0,,,42.0,13.0,,15.0,9.0,3.0,10.0,1.0,2.0,51.0,1.0,13.0,5.0,2.0,,2.0,8.0,,6.0,1.0,43.0,44.0,18.0,3.0,54.0,14.0,10.0,9.0,3.0,10.0,10.0,0.0,,,,4.0,3.0,8.0,1.0,,,,1.0,,1.0,5.0,,1.0,,6.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,9t3ur1ky5vy0e6lj95b8lsyxh,David Bruno,Defender,22,47.0,4.0,769.0,24.0,,3.0,13.0,14.0,18.0,1.0,228.0,18.0,,102.0,7.0,9.0,3.0,12.0,4.0,349.0,193.0,25.0,3.0,1.0,188.0,18.0,194.0,,34.0,41.0,4.0,15.0,1.0,8.0,1208.0,,4.0,66.0,16.0,,,14.0,360.0,26.0,98.0,82.0,81.0,20.0,115.0,10.0,2.0,473.0,21.0,60.0,3.0,24.0,,9.0,18.0,1.0,11.0,,48.0,370.0,30.0,20.0,485.0,7.0,9.0,11.0,7.0,10.0,171.0,0.0,,7.0,,4.0,34.0,34.0,,,25.0,,11.0,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
testeo_ligas_europa,Portugal_Primeira_Liga,2021-2022,GD Estoril Praia,GD_Estoril_Praia,apgwxh3jxuosp69vtmrwbea6s,João Oliveira,Goalkeeper,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
