liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goal Assists,Goalkeeper Smother,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Saved,Assists (Intentional),Corners Taken (incl short corners),Goals Openplay,Goals from Outside Box,Handballs conceded,Left Foot Goals,Overruns,Successful Corners into Box,Successful Lay-offs,Through balls,Times Tackled,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful lay-offs,Foul Won Penalty,Right Foot Goals,Throw Ins to Opposition Player,Total Big Chances Scored,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Red Cards,Attempts from Set Pieces,Red Cards - 2nd Yellow,Penalties Faced,Second Goal Assists,Hit Woodwork,Penalties Taken,Penalty Goals,Penalties Off Target,Own Goal Scored,Other Goals,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty
Portugal_Primeira_Liga,2025-2026,FC Arouca,dz789stcx4dsr9tqt4fjdshuy,N. Mantl,Goalkeeper,58,,,,8,,,,24,2,,2,1,1,,142,,64,8,53,,18,17,1,,2,1,1,,,,,41,,147,,8,,,71,45,,,,8,,,,,,14,48,112,37,121,110,,,,720,,8,1,1,71,228,,158,,,70,300,39,68,49,21,2,,,,0,5,,,19,,,3,26,11,14,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,3j16x0f8y78d2838wr2vy2bro,F. Mayulu,Forward,9,1,,1,3,1,,,1,,,3,1,2,7,,,,3,,,,,,,2,1,1,,,,,1,1,3,,,1,,,1,,1,,,,3,,,1,,,1,1,,1,,,1,9,,1,,,3,3,1,1,,1,2,8,,,3,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,eh5vcpzxaze0ru5xdi1wbhoq2,V. Morozov,Forward,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,7dg1194v22qjor6wufljuvuhg,D. Nandín,Forward,23,74,48,26,21,51,3,2,41,,2,167,100,67,128,28,11,,21,,1,19,17,2,1,93,52,41,,1,10,,34,1,131,2,23,11,7,18,33,12,8,7,10,7,11,,,6,,,93,57,51,108,2,13,,921,4,11,23,21,109,146,15,108,15,34,38,324,,1,32,10,37,2,1,0,0,,,,,2,,,,,,,,,1,,1,,,,2,,5,1,28,4,,4,4,14,4,,1,,1,1,,1,1,,,,,1,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,ctr1vyseb2ret4st095legsgk,Omar Fayed,Defender,66,14,6,8,8,22,1,6,87,1,,64,24,40,18,121,8,2,8,2,,17,17,,,50,18,32,,11,,1,140,1,345,3,34,7,4,30,81,,,,6,3,2,,,7,,20,302,100,218,298,8,12,1,553,,27,14,5,51,364,,318,20,3,46,458,9,26,34,13,20,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,60jyy87x7db7wjur76irnisyc,Pedro Santos,Midfielder,89,11,6,5,16,84,,,122,2,3,81,39,42,74,176,13,,16,,,15,14,1,,70,33,37,,10,8,,145,1,563,1,40,10,7,55,181,8,2,,8,5,8,2,2,2,1,35,510,258,274,495,4,15,3,767,,9,18,16,80,586,2,530,19,,56,693,12,30,52,12,26,4,,,0,,,,,,,,,,,,,,,1,,,,,1,,4,1,4,,1,8,5,3,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,bmbn4q2uorkgosgaig6migpux,B. Popović,Defender,5,45,23,22,17,36,1,14,156,,,73,36,37,12,201,5,5,17,5,1,34,31,3,1,28,13,15,1,11,1,,221,,602,3,64,10,3,19,163,1,2,2,13,3,4,,,1,8,42,532,142,408,508,4,5,,1158,,81,13,6,73,621,4,550,9,8,71,771,25,42,44,27,29,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,8508cu2jps76u6esioydgl5d6,Miguel Puche,Forward,11,34,21,13,27,61,,1,87,1,6,111,64,47,154,73,4,,27,,1,19,18,1,1,77,43,34,1,3,13,,70,4,221,4,45,14,3,29,23,14,7,7,5,2,22,10,4,9,,12,180,125,69,172,6,7,11,710,1,17,20,12,120,227,14,184,13,14,43,417,7,14,56,13,29,4,0,1,1,,,,,1,,,,,,,,,1,15,1,,3,,1,5,9,,18,,10,26,12,9,1,,,4,1,,,,,1,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,8lboyg16852lqm9gswempml90,M. Rocha,Defender,4,32,13,19,11,30,,7,134,2,,60,28,32,24,164,3,6,11,6,,16,15,1,,28,15,13,,6,4,,238,,532,,80,6,4,30,129,4,3,,9,2,2,,,1,3,18,478,175,327,484,3,6,,843,,53,11,3,62,561,3,502,9,7,59,668,14,29,45,15,30,4,,,0,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,1,,,,,,1,1,1,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,6o2xd34n2xu96bqbkq4zj21d6,Arnau Solà,Defender,16,14,7,7,10,58,3,7,73,,6,39,15,24,116,97,,,10,,,14,14,,,25,8,17,,5,6,,9,1,227,2,43,14,6,25,71,7,2,,7,5,3,3,3,2,3,13,175,101,85,170,3,4,49,589,,21,3,9,108,235,2,183,7,10,52,418,11,24,57,19,28,1,,,0,,,,,1,,,,,,,,,,1,,,,,,,2,,4,1,1,24,23,3,,,,7,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,9f83clp1v95kvlxdb376tgbth,Javi Sánchez,Defender,15,36,16,20,15,45,1,19,174,4,1,72,32,40,26,279,4,16,15,16,,15,12,3,,36,16,20,,11,5,,404,1,851,1,69,7,5,46,174,6,4,1,15,4,,,,,4,57,764,201,612,756,6,9,,1227,,72,10,5,100,902,5,813,15,8,89,1063,23,46,55,36,43,6,,,0,,,,,1,,,,,,,,,1,1,,,,,,,1,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,Defender,28,140,52,88,29,216,1,17,137,5,10,250,104,146,404,451,12,,29,,3,49,44,5,3,110,52,58,2,28,21,,325,4,1012,5,83,56,19,89,43,26,11,4,27,6,2,16,16,4,9,46,707,360,384,682,12,22,207,2462,3,108,40,23,434,1035,15,728,34,36,307,1683,53,98,246,95,209,10,2,1,2,,,,,5,,,,,,,,1,4,,1,,2,1,,,4,2,4,6,,34,34,1,,,,64,2,,2,,,,,,1,,,,,,,,,,
Portugal_Primeira_Liga,2025-2026,FC Arouca,4fjr74igamnglla1q6njvcley,A. Trezza,Forward,19,51,43,8,32,119,12,2,135,3,19,244,161,83,351,121,22,,32,,9,46,42,4,7,193,118,75,2,9,20,,106,8,378,5,75,69,29,75,43,22,16,19,27,15,5,16,15,16,2,7,262,178,111,266,15,18,1,2329,5,31,36,26,276,389,35,273,33,63,116,809,13,18,134,36,98,2,8,1,2,,,,,2,,,,,,,,,2,3,7,2,,2,2,1,9,,48,4,1,54,53,23,1,,5,,7,1,,1,1,,,,1,,,,,,,,,,
