liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Assists (Intentional),Blocked Shots,Clean Sheets,Clearances Off the Line,GK Successful Distribution,Goal Assists,Goal Kicks,Goals,Goals from Inside Box,Handballs conceded,Headed Goals,Own Goal Scored,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Second Goal Assists,Shots On Target ( inc goals ),Successful Launches,Through balls,Throw Ins to Opposition Player,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Red Cards,Yellow Cards,Home Goals,Away Goals,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Hit Woodwork,Left Foot Goals,Overruns,Right Foot Goals,Successful Corners into Box,Unsuccessful Corners into Box,Unsuccessful lay-offs,Foul Won Penalty,Goals from Outside Box,Last Player Tackle,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Goalkeeper Smother,Penalties Taken,Penalty Goals,Straight Red Cards,Direct Setpiece Goals,Set Pieces Goals,Direct Corner Goals,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals,Crosses not Claimed
Eredivisie,2025-2026,NAC Breda,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,Midfielder,16,50.0,24.0,26.0,31.0,142.0,8.0,303.0,2.0,227.0,100.0,127.0,271.0,426.0,12.0,31.0,49.0,47.0,2.0,177.0,76.0,101.0,31.0,19.0,378.0,,1238.0,167.0,34.0,14.0,137.0,322.0,20.0,6.0,31.0,11.0,,,,10.0,23.0,43.0,1050.0,652.0,428.0,1037.0,35.0,21.0,3.0,2646.0,28.0,1.0,49.0,33.0,36.0,245.0,1268.0,7.0,1080.0,56.0,19.0,188.0,1620.0,3.0,3.0,10.0,14.0,38.0,128.0,63.0,150.0,0.0,,9.0,4.0,,,1.0,,,,3.0,,,,3.0,1.0,1.0,1.0,4.0,2.0,,,,,1.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,ajs5py826pvol60tokraxrpey,D. Bielica,Goalkeeper,99,13.0,,13.0,32.0,,,76.0,,22.0,2.0,20.0,,723.0,,32.0,52.0,49.0,3.0,9.0,2.0,7.0,,,152.0,,648.0,26.0,1.0,,265.0,126.0,,,32.0,,,,,2.0,,257.0,411.0,178.0,403.0,324.0,,,,2880.0,,,38.0,,7.0,424.0,1001.0,,581.0,,,420.0,1312.0,,,,255.0,413.0,329.0,91.0,7.0,0.0,,,6.0,,218.0,,188.0,,,,,,,3.0,,,,145.0,,,,26.0,,,3.0,,,,,,,,,,,,,,,,17.0,6.0,91.0,3.0,17.0,111.0,74.0,36.0,4.0,33.0,3.0,,,,,,,,,,,1.0
Eredivisie,2025-2026,NAC Breda,c3j7ddqg0yzporam6gieibgiy,C. Brym,Forward,7,63.0,41.0,22.0,23.0,110.0,1.0,212.0,15.0,245.0,139.0,106.0,387.0,99.0,11.0,23.0,31.0,30.0,1.0,182.0,98.0,84.0,11.0,19.0,108.0,4.0,389.0,118.0,41.0,13.0,63.0,88.0,23.0,19.0,17.0,12.0,6.0,11.0,11.0,31.0,16.0,12.0,287.0,210.0,104.0,291.0,9.0,5.0,9.0,1470.0,64.0,5.0,7.0,21.0,39.0,253.0,405.0,32.0,303.0,14.0,64.0,102.0,775.0,33.0,33.0,31.0,6.0,8.0,113.0,22.0,94.0,0.0,3.0,11.0,1.0,,,4.0,,2.0,2.0,1.0,,,,1.0,,,13.0,1.0,1.0,2.0,7.0,,2.0,,4.0,1.0,1.0,,,2.0,1.0,,5.0,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
Eredivisie,2025-2026,NAC Breda,64oi87vu8r3cxx2fvtr442gwk,J. Candelaria,Defender,21,4.0,2.0,2.0,7.0,5.0,,7.0,1.0,12.0,7.0,5.0,29.0,16.0,,7.0,4.0,4.0,,8.0,5.0,3.0,2.0,1.0,7.0,,38.0,4.0,4.0,3.0,2.0,10.0,1.0,,1.0,1.0,6.0,1.0,1.0,,,3.0,25.0,17.0,9.0,22.0,1.0,1.0,6.0,119.0,2.0,,6.0,1.0,1.0,28.0,38.0,1.0,25.0,2.0,2.0,13.0,82.0,4.0,4.0,2.0,4.0,4.0,13.0,4.0,9.0,0.0,,,,,,,,,,,,,,,,,1.0,1.0,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,9ul2q3p1ewkdszrxyqikr1wk4,C. Chiza,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,9lf3xdnyyvp9oszko2svaisd0,J. Erat,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,6feheukom1kdo8w1hwrztpvro,B. Ghalidi,Forward,55,1.0,1.0,,9.0,25.0,,67.0,6.0,31.0,10.0,21.0,103.0,20.0,,9.0,5.0,5.0,,30.0,9.0,21.0,1.0,3.0,25.0,,111.0,36.0,3.0,1.0,13.0,42.0,3.0,3.0,,,9.0,5.0,4.0,8.0,1.0,2.0,95.0,83.0,18.0,94.0,1.0,,1.0,200.0,6.0,,2.0,1.0,12.0,47.0,112.0,3.0,96.0,1.0,10.0,16.0,181.0,21.0,18.0,,,1.0,33.0,4.0,15.0,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,3pel8n15z1q9aeo057v7hxl3o,T. Goos,Goalkeeper,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eredivisie,2025-2026,NAC Breda,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,Defender,12,94.0,31.0,63.0,14.0,53.0,16.0,112.0,1.0,169.0,60.0,109.0,43.0,226.0,5.0,14.0,24.0,22.0,2.0,75.0,29.0,46.0,11.0,5.0,225.0,,624.0,53.0,14.0,12.0,39.0,137.0,5.0,2.0,14.0,4.0,,,,3.0,,35.0,534.0,199.0,352.0,516.0,10.0,20.0,,1135.0,1.0,1.0,96.0,24.0,14.0,97.0,641.0,8.0,551.0,30.0,27.0,90.0,862.0,1.0,1.0,1.0,23.0,35.0,69.0,22.0,55.0,0.0,,2.0,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,6.0,11.0,,,,,1.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Eredivisie,2025-2026,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,Defender,22,101.0,38.0,63.0,25.0,95.0,16.0,310.0,1.0,218.0,84.0,134.0,101.0,401.0,13.0,25.0,32.0,31.0,1.0,117.0,46.0,71.0,25.0,4.0,190.0,,1039.0,153.0,34.0,20.0,112.0,412.0,5.0,11.0,23.0,5.0,2.0,2.0,2.0,7.0,1.0,59.0,883.0,360.0,582.0,881.0,17.0,30.0,4.0,1915.0,13.0,,121.0,26.0,17.0,200.0,1098.0,17.0,940.0,47.0,36.0,158.0,1467.0,4.0,4.0,7.0,31.0,60.0,101.0,61.0,98.0,0.0,,1.0,3.0,,32.0,1.0,32.0,,,1.0,,,1.0,3.0,,,6.0,17.0,,,1.0,1.0,,1.0,8.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
