root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Starts,Total Clearances,PutThrough/Blocked Distribution,Duels won,Foul Attempted Tackle,Ground Duels lost,Total Losses Of Possession,Substitute Off,Forward Passes,Goal Assists,Successful Long Passes,Substitute On,Times Tackled,Successful Launches,Yellow Cards,Successful Dribbles,Aerial Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Assists (Intentional),Appearances,Throw Ins to Own Player,Goals Conceded Inside Box,Rightside Passes,Unsuccessful Crosses open play,Unsuccessful Short Passes,Interceptions,Blocked Shots,Ground Duels won,Total Tackles,Index,Open Play Passes,Time Played,Duels,Shots Off Target (inc woodwork),Unsuccessful Long Passes,Unsuccessful Launches,Shots On Target ( inc goals ),Unsuccessful Dribbles,Successful Crosses & Corners,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Total Fouls Won,Total Touches In Opposition Box,Successful Crosses open play,Aerial Duels won,Unsuccessful Passes Opposition Half,Successful Passes Opposition Half,Through balls,Total Successful Passes ( Excl Crosses & Corners ) ,Total Shots,Unsuccessful Passes Own Half,Fifty Fifty,Aerial Duels lost,Total Fouls Conceded,Successful Fifty Fifty,Penalty Goals Conceded,Touches,Successful Lay-offs,Successful Short Passes,Duels lost,Successful Passes Own Half,Games Played,Recoveries,Total Passes,Ground Duels,Leftside Passes,Successful Open Play Passes,Goals Conceded,Unsuccessful Crosses & Corners,Corners Won,Backward Passes,Tackles Won,Tackles Lost,Unsuccessful lay-offs,Home Goals,Away Goals,Winning Goal,Right Foot Goals,Hit Woodwork,Handballs conceded,Goals from Outside Box,Goals,Attempts from Set Pieces,Corners Taken (incl short corners),Clearances Off the Line,Unsuccessful Corners into Box,Blocks,Clean Sheets,Second Goal Assists,Throw Ins to Opposition Player,Saves Made,Catches,GK Successful Distribution,Saves Made from Outside Box,Successful Corners into Box,Own Goal Scored,Offsides,Headed Goals,Goals from Inside Box,Left Foot Goals,Penalty Goals,Penalties Taken,Foul Won Penalty,Penalties Conceded,Penalties Faced,GK Unsuccessful Distribution,Punches,Saves made - caught,Saves made - parried,Drops,Crosses not Claimed,Goalkeeper Smother,Saves Made from Inside Box,Red Cards - 2nd Yellow,Total Red Cards,Straight Red Cards,Set Pieces Goals,Other Goals,Last Man Tackle,Saves from Penalty,Penalties Saved,Penalties Off Target,Goal Kicks,Overruns,Last Player Tackle
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Köln,1._FC_Köln,7amzjugeiaus0r6421f0ngqqy,M. Özkan,Defender,30,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,bbripu6sojfgwvdahoparudey,A. Ahl-Holmström,Forward,12,2.0,9.0,2.0,16.0,2.0,11.0,27.0,2.0,8.0,,,6.0,4.0,,1.0,1.0,23.0,17.0,,8.0,,1.0,6.0,,17.0,,6.0,2.0,1.0,10.0,35.0,267.0,36.0,2.0,,,1.0,3.0,,2.0,2.0,1.0,,19.0,,14.0,16.0,11.0,,19.0,3.0,1.0,,9.0,5.0,,,72.0,6.0,19.0,20.0,8.0,8.0,2.0,36.0,13.0,15.0,18.0,2.0,,1.0,7.0,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,9hm1ar7moc4vvae86rtwuf46h,X. Amaechi,Forward,20,13.0,1.0,17.0,72.0,4.0,70.0,185.0,13.0,74.0,4.0,25.0,12.0,40.0,,2.0,35.0,19.0,71.0,4.0,25.0,7.0,17.0,25.0,17.0,57.0,5.0,11.0,70.0,11.0,48.0,350.0,1068.0,159.0,5.0,14.0,2.0,11.0,32.0,8.0,21.0,10.0,2.0,24.0,53.0,4.0,2.0,89.0,213.0,5.0,297.0,16.0,13.0,,17.0,20.0,,2.0,638.0,4.0,272.0,87.0,92.0,25.0,42.0,368.0,140.0,154.0,282.0,19.0,31.0,14.0,115.0,6.0,5.0,,3.0,2.0,2.0,1.0,,,1.0,5.0,3.0,19.0,,9.0,2.0,,,1.0,,,,,1.0,,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,8j19g553xmh4lr4kz6r0mqi8l,B. Atik,Forward,23,22.0,10.0,25.0,84.0,3.0,74.0,358.0,14.0,260.0,6.0,45.0,2.0,54.0,2.0,6.0,25.0,31.0,191.0,5.0,24.0,17.0,34.0,264.0,21.0,144.0,3.0,7.0,74.0,9.0,26.0,797.0,1773.0,179.0,20.0,47.0,8.0,16.0,28.0,22.0,50.0,10.0,4.0,41.0,82.0,5.0,10.0,233.0,506.0,22.0,663.0,36.0,14.0,,21.0,13.0,,4.0,1240.0,19.0,618.0,95.0,179.0,24.0,72.0,854.0,148.0,109.0,608.0,38.0,56.0,18.0,221.0,8.0,1.0,2.0,3.0,4.0,1.0,6.0,,1.0,2.0,7.0,6.0,85.0,,27.0,2.0,1.0,,5.0,,,,,11.0,,2.0,1.0,5.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,atgv65f12dksqmrqvjfbejztg,M. Baars,Forward,31,,,1.0,2.0,1.0,6.0,9.0,,1.0,,,2.0,2.0,,,,,1.0,,2.0,1.0,,,1.0,,,,2.0,1.0,10.0,5.0,22.0,8.0,,1.0,,2.0,2.0,,,1.0,,1.0,2.0,,,2.0,2.0,,4.0,2.0,,,,2.0,,,19.0,,4.0,6.0,2.0,2.0,2.0,5.0,8.0,,4.0,,1.0,2.0,4.0,,1.0,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,3mlkkejvytvm1ng7oo7nfinyt,H. Bockhorn,Defender,7,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,1.0,8.0,4.0,22.0,2.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,3.0,,1.0,,1.0,,,,8.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,6go1e6kiezmwexizbpo7pp0yc,L. Burcu,Forward,29,27.0,13.0,36.0,152.0,17.0,127.0,333.0,23.0,185.0,7.0,23.0,4.0,91.0,1.0,5.0,59.0,27.0,131.0,7.0,31.0,17.0,32.0,224.0,34.0,113.0,8.0,26.0,141.0,21.0,20.0,759.0,2119.0,295.0,16.0,18.0,7.0,18.0,56.0,10.0,39.0,14.0,2.0,62.0,123.0,9.0,11.0,147.0,485.0,5.0,653.0,34.0,25.0,,16.0,31.0,,6.0,1303.0,11.0,630.0,143.0,178.0,31.0,91.0,784.0,268.0,159.0,629.0,34.0,41.0,28.0,216.0,11.0,10.0,2.0,1.0,2.0,1.0,2.0,,5.0,1.0,3.0,1.0,12.0,,1.0,1.0,,,3.0,,,,,,,11.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,8vgun9xb1x4n0mdbwtms9vk6h,J. Çeka,Forward,10,1.0,,1.0,8.0,1.0,8.0,19.0,1.0,8.0,,,2.0,4.0,,,1.0,,10.0,,3.0,,,5.0,1.0,7.0,,,8.0,3.0,16.0,29.0,91.0,16.0,,3.0,,,2.0,,,,,4.0,2.0,,,9.0,10.0,,19.0,,2.0,,,3.0,,,47.0,,19.0,8.0,9.0,3.0,4.0,29.0,16.0,8.0,19.0,,1.0,1.0,8.0,1.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,2soafyzpukhp1v2c32v0bdec5,T. Chahed,Defender,34,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,10.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_europa,Germany_Bundesliga,2024-2025,1. FC Magdeburg,1._FC_Magdeburg,5rtgaa0dywcnu3srwivumz88a,E. Džogović,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
