liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Corners into Box,Successful Crosses & Corners,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Goals Openplay,Hit Woodwork,Left Foot Goals,Assists (Intentional),Goal Assists,Penalties Conceded,Successful Crosses open play,Successful Launches,Throw Ins to Opposition Player,Total Big Chances Created,Clearances Off the Line,Total Big Chances Saved,Foul Won Penalty,Unsuccessful lay-offs,Total Big Chances Missed,Last Player Tackle,GK Successful Distribution,Goal Kicks,Attempts from Set Pieces,Headed Goals,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Second Goal Assists,Own Goal Scored,Straight Red Cards,Total Red Cards,Goals from Outside Box,Red Cards - 2nd Yellow,Penalties Off Target,Direct Setpiece Goals,Set Pieces Goals,Crosses not Claimed,Other Goals
France_Ligue_1,2025-2026,Olympique de Marseille,6u2ob6fv950r1qve8uejkq2uh,A. Gouiri,Forward,9,18,11,7,21,126,9,1,114,,28,11,126,78,48,318,63,4,21,7,21,21,,7,108,67,41,,3,27,75,4,344,3,,,2,54,15,6,39,7,104,30,10,16,14,11,7,11,13,17,39,7,281,230,88,298,4,7,6,1,1238,48,5,3,14,13,175,368,26,305,11,61,63,594,12,24,8,27,1,4,77,10,59,,4,3,1,7,1,,3,3,,1,,,6,,,,6,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,6kicom9a3lzp49urle78bevl6,M. Greenwood,Forward,10,9,7,2,31,275,29,1,525,3,46,30,219,122,97,881,301,8,31,16,35,35,,13,210,115,95,,4,49,475,,1171,9,8,6,4,231,30,3,76,11,160,55,36,47,28,13,3,12,28,49,55,74,956,746,275,919,1,13,15,18,2379,76,9,2,22,32,445,1211,83,993,14,151,218,1739,22,78,50,50,4,39,256,40,179,4,9,7,6,10,3,5,6,6,,15,2,,12,,,1,4,4,,,,7,,,,,,,,,,,,,,,2,,,,3,,1,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,bt2h27b7sfmsa5w6tnfp7lw4p,A. Harit,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,4zxrdmwphkxvkvo6bt30uanrp,P. Højbjerg,Midfielder,23,49,19,30,31,246,10,6,560,7,,6,237,111,126,439,649,20,31,3,40,39,1,2,188,92,96,1,26,33,581,,2114,1,,,4,262,37,21,153,1,698,37,20,13,29,4,2,,,17,46,72,1905,1133,824,1885,12,25,7,10,2633,31,2,41,34,43,293,2174,33,1957,37,50,217,2553,,8,8,14,14,64,184,41,153,3,3,0,0,3,1,,2,4,,,3,,5,1,,,,4,,,,3,2,,,,,,,,,,,,,,,,,,1,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,e0cy0gwf04lohf0xjef0af8fe,Igor Paixão,Forward,14,52,34,18,29,213,10,2,303,3,19,24,246,143,103,608,134,9,29,6,28,28,,4,194,109,85,,14,22,29,9,653,8,,,2,153,25,14,87,5,295,27,21,21,21,14,8,3,7,26,13,28,534,422,136,523,15,11,2,15,1909,73,4,22,20,34,293,671,42,551,26,96,120,1093,9,49,40,54,9,17,151,18,103,3,3,3,2,6,,1,3,5,,5,4,1,4,,,1,,5,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,9m3gd12xou3mobxdk3jbxjpqs,N. Kamissoko,Midfielder,71,1,,1,2,3,,1,4,,,,1,,1,2,3,,2,,1,1,,,,,,,,2,6,,15,,,,1,1,1,,3,,3,2,1,,,,2,,,,,,12,9,3,12,,,,1,13,,,,,,4,15,1,12,,1,3,21,,,,,,,,3,3,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,58qeglyxdi7y8ttg8sddv8set,G. Kondogbia,Midfielder,19,16,7,9,10,73,1,5,96,,,,64,27,37,50,115,8,10,,6,6,,,48,20,28,,10,2,144,,426,,,,,46,10,8,51,,100,2,2,1,9,9,1,,,6,7,9,371,161,216,368,6,8,1,,593,6,,17,12,8,69,432,3,377,14,5,55,528,,1,1,,2,14,43,13,41,3,,,0,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,66jen2gao5xg7idfmhb0p9zpw,A. Lago,Forward,78,5,4,1,2,4,,,3,,,1,14,7,7,13,3,1,2,,3,3,,,9,3,6,,,1,3,,7,,,,,,,,1,,,1,,2,,,2,,1,,1,2,5,4,5,6,2,3,,1,48,1,,2,2,1,8,10,2,8,5,6,2,31,,,,,,,1,1,2,1,,,0,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,agmcwbzoertg4l8njpdai7kl,Pol Lirola,Defender,29,7,4,3,3,4,,,3,,,1,12,7,5,12,5,,3,,2,2,,,5,3,2,,1,1,3,,12,,,,,1,4,2,2,,,1,,,,,3,,,,,,10,7,3,10,,,,1,31,2,,,1,2,10,12,,10,,,2,28,,2,2,2,,,3,1,2,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France_Ligue_1,2025-2026,Olympique de Marseille,xu7mykgl15kaib3olilmsez9,N. Maupay,Forward,7,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,1,1,,,,,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
